student_id,competency_area,metric,measurement,score
S01,Question Formulation,Question Depth,levels,78.7
S01,Response Quality,Answer Completeness,percent,58.8
S01,Critical Thinking,Logical Reasoning,rating,68.3
S01,Assumption Recognition,Assumption Awareness,rating,37.9
S02,Question Formulation,Question Depth,levels,70.3
S02,Response Quality,Answer Completeness,percent,68.7
S02,Critical Thinking,Logical Reasoning,rating,54.6
S02,Assumption Recognition,Assumption Awareness,rating,80.1
S03,Question Formulation,Question Depth,levels,45.4
S03,Response Quality,Answer Completeness,percent,42.5
S03,Critical Thinking,Logical Reasoning,rating,75.9
S03,Assumption Recognition,Assumption Awareness,rating,48.5
S04,Question Formulation,Question Depth,levels,81.7
S04,Response Quality,Answer Completeness,percent,56.4
S04,Critical Thinking,Logical Reasoning,rating,68.1
S04,Assumption Recognition,Assumption Awareness,rating,66.7
S05,Question Formulation,Question Depth,levels,76.5
S05,Response Quality,Answer Completeness,percent,68.0
S05,Critical Thinking,Logical Reasoning,rating,67.3
S05,Assumption Recognition,Assumption Awareness,rating,59.4
S06,Question Formulation,Question Depth,levels,80.2
S06,Response Quality,Answer Completeness,percent,61.8
S06,Critical Thinking,Logical Reasoning,rating,53.2
S06,Assumption Recognition,Assumption Awareness,rating,63.4
S07,Question Formulation,Question Depth,levels,67.2
S07,Response Quality,Answer Completeness,percent,63.1
S07,Critical Thinking,Logical Reasoning,rating,70.0
S07,Assumption Recognition,Assumption Awareness,rating,66.8
S08,Question Formulation,Question Depth,levels,55.4
S08,Response Quality,Answer Completeness,percent,58.5
S08,Critical Thinking,Logical Reasoning,rating,78.1
S08,Assumption Recognition,Assumption Awareness,rating,66.1
S09,Question Formulation,Question Depth,levels,80.4
S09,Response Quality,Answer Completeness,percent,45.4
S09,Critical Thinking,Logical Reasoning,rating,60.4
S09,Assumption Recognition,Assumption Awareness,rating,88.5
S10,Question Formulation,Question Depth,levels,76.1
S10,Response Quality,Answer Completeness,percent,74.6
S10,Critical Thinking,Logical Reasoning,rating,75.9
S10,Assumption Recognition,Assumption Awareness,rating,60.2
S11,Question Formulation,Question Depth,levels,68.8
S11,Response Quality,Answer Completeness,percent,92.0
S11,Critical Thinking,Logical Reasoning,rating,69.3
S11,Assumption Recognition,Assumption Awareness,rating,95.0
S12,Question Formulation,Question Depth,levels,56.9
S12,Response Quality,Answer Completeness,percent,73.1
S12,Critical Thinking,Logical Reasoning,rating,75.2
S12,Assumption Recognition,Assumption Awareness,rating,64.7
